NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT00398138,"Vaccine Therapy and GM-CSF in Treating Patients With Acute Myeloid Leukemia, Myelodysplastic Syndromes, Non-Small Cell Lung Cancer, or Mesothelioma",https://clinicaltrials.gov/study/NCT00398138,,COMPLETED,"RATIONALE: Vaccines made from peptides may help the body build an effective immune response to kill cancer cells. Biological therapies, such as GM-CSF, may stimulate the immune system in different ways and stop cancer cells from growing. Giving vaccine therapy together with GM-CSF may kill more cancer cells.

PURPOSE: This phase I trial is studying the side effects of vaccine therapy and GM-CSF in treating patients with acute myeloid leukemia, myelodysplastic syndromes, non-small cell lung cancer, or mesothelioma.",YES,Leukemia|Lung Cancer|Malignant Mesothelioma|Myelodysplastic Syndromes|Primary Peritoneal Cavity Cancer,BIOLOGICAL: WT-1 analog peptide vaccine|BIOLOGICAL: incomplete Freund's adjuvant|BIOLOGICAL: sargramostim|GENETIC: polymerase chain reaction|OTHER: flow cytometry|OTHER: immunoenzyme technique,"Safety, Toxicities will be tabulated according to the NCI Common Toxicity (version 3.0)., 2 years|Immune Response, Immune reactivity to the peptides will be measured in the same fashion for patients with hematologic or thoracic malignancies. Immune responses will be measured by T cell proliferative response and DTH against WT-1 peptides. In patients with adequate samples, T cell gamma interferon release as measured by ELISPOT will be performed as well., 2 years",,,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI)|Innovive Pharmaceuticals,ALL,"ADULT, OLDER_ADULT",PHASE1,22.0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,06-085|P30CA008748|P01CA023766|MSKCC-06085,2006-10,2009-06,2009-06,2006-11-10,2016-03-02,2016-03-02,"Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States",
NCT00436930,Vaccine Therapy and GM-CSF in Treating Patients With Recurrent or Metastatic Melanoma,https://clinicaltrials.gov/study/NCT00436930,,COMPLETED,"RATIONALE: Vaccines made from a person's tumor cells and white blood cells may help the body build an effective immune response to kill tumor cells. Colony-stimulating factors, such as GM-CSF, increase the number of white blood cells and platelets found in bone marrow or peripheral blood. Giving vaccine therapy together with GM-CSF may be an effective treatment for melanoma.

PURPOSE: This randomized phase II trial is studying two different vaccine therapy regimens to compare how well they work when given together with GM-CSF in treating patients with recurrent or metastatic melanoma.",NO,Melanoma (Skin),BIOLOGICAL: autologous tumor cell vaccine|BIOLOGICAL: sargramostim|BIOLOGICAL: therapeutic autologous dendritic cells,"Overall survival, progression-free survival, event-free survival, and failure-free survival|Frequency of immune response as measured by delayed-type hypersensitivity and serologic and cellular assays at baseline and during and after completion of study treatment|Safety",,,Hoag Memorial Hospital Presbyterian,,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,200.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: |Masking: |Primary Purpose: TREATMENT,CDR0000530026|HOAG-HCC-06-03,2006-12,2012-10,2012-10,2007-02-19,,2014-01-10,"Hoag Cancer Institute at Hoag Memorial Hospital Presbyterian, Newport Beach, California, 92663, United States",
NCT00470574,Vaccine Therapy and QS21 in Treating Patients With Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT00470574,,COMPLETED,"RATIONALE: Vaccines may help the body build an effective immune response to kill tumor cells. Giving vaccine therapy together with QS21 may cause a stronger immune response and kill more tumor cells.

PURPOSE: This clinical trial is studying the side effects and how well giving vaccine therapy together with QS21 works in treating patients with metastatic breast cancer.",YES,Breast Cancer,BIOLOGICAL: QS21|BIOLOGICAL: sialyl Lewisª-keyhole limpet hemocyanin conjugate vaccine|OTHER: immunoenzyme technique|OTHER: immunologic technique|OTHER: laboratory biomarker analysis,"Safety, 2 years|Immune Response, 2 years","Presence of Circulating Tumor Cells, 2 years",,Memorial Sloan Kettering Cancer Center,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",,7.0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,06-156|P30CA008748|MSKCC-06156,2007-03-20,2020-01-24,2020-01-24,2007-05-07,2020-11-16,2020-11-18,"Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/74/NCT00470574/Prot_SAP_000.pdf"
NCT00471471,Vaccine Therapy in Treating Patients With Recurrent Stage III or Stage IV Melanoma That Cannot Be Removed by Surgery,https://clinicaltrials.gov/study/NCT00471471,,COMPLETED,"RATIONALE: Vaccines made from peptides may help the body build an effective immune response to kill tumor cells. Giving vaccine therapy together with GM-CSF, CpG 7909, and incomplete Freund's adjuvant may make a stronger immune response and kill more tumor cells.

PURPOSE: This clinical trial is studying the side effects and how well vaccine therapy works in treating patients with recurrent stage III or stage IV melanoma that cannot be removed by surgery.",NO,Intraocular Melanoma|Malignant Conjunctival Neoplasm|Melanoma (Skin),BIOLOGICAL: Peptide vaccine|BIOLOGICAL: GM-CSF|BIOLOGICAL: PF3512676,"Safety, Number of grade 2 or greater allergic reactions (including generalized urticaria) or any grade 3 or greater adverse event, up to 1 year","Immunologic response, Change in the circulating effector T-cells., up to 94 days|Objective tumor regression, Change in tumor size will be performed at the end of cycle 2., 2 months|Depigmentation evaluation, Change in cutaneous depigmentation using careful inspection of the skin of the torso by a Wood's lamp., up to 2 years",,Ahmad Tarhini,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE1,22.0,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,04-173|NCI-2009-00159|PCI-IRB-0607048|CDR0000544402,2008-10,2011-12,2011-12,2007-05-10,,2017-06-22,"UPMC Cancer Centers, Pittsburgh, Pennsylvania, 15232, United States",
NCT00433745,Wilm's Tumor 1 (WT1) Peptide Vaccine for High Risk Hematologic Malignancy,https://clinicaltrials.gov/study/NCT00433745,,COMPLETED,"This study will determine the safety and effectiveness of an experimental vaccine in controlling the abnormal growth of cells in patients with myelodysplastic syndrome (MDS, also known as myelodysplasia), acute myeloid leukemia (AML), acute lymphoblastic leukemia (ALL), and chronic myeloid leukemia (CML). It will test whether the vaccine can increase the number of immune cells responding to the cancer and thereby slow progression of the illness, improve blood counts, reduce the need for transfusions of blood and platelets, or even achieve a disease remission. The vaccine contains part of a protein that is produced in large amounts by cells of patients with these cancers and an added substance called Montanide that helps the immune system respond to the vaccine. Sargramostim, another substances that boosts the immune response, is also given.

Patients 18 to 85 years of age with MDS, AML, ALL or CML may be eligible for this study. Candidates are screened with a medical history, physical examination, blood tests, chest x-ray and bone marrow biopsy. Women of childbearing age also have a pregnancy test.

Participants undergo the following:

* Chemotherapy entering the study.
* Leukapheresis to collect large amounts of white blood cells for infusion before vaccine administration.
* Participants may need placement of a central line (plastic tube, or catheter) in the upper part of the chest to be used for giving chemotherapy, blood or platelet transfusions, antibiotics and white blood cells, and for collecting blood samples.
* Weekly vaccine injections for nine weeks, given in the upper arm, upper leg or abdomen.
* Sargramostim injections following each vaccination.
* Standard of care treatment for MDS, AML, ALL or CML, which may include blood or platelet transfusions, growth factors, and drugs to control underlying disease and potential side effects of the vaccine.
* Weekly safety monitoring, including vital signs check, brief health assessment, blood tests and observation after the vaccination, on the day of each vaccination.
* Follow-up evaluations with blood tests and chest x-ray 3 weeks after the last vaccine dose and with blood tests and bone marrow biopsy 7 weeks after the last vaccine dose.",YES,Myelodysplastic Syndrome|Acute Myeloid Leukemia (AML)|Chronic Myeloid Leukemia (CML),DRUG: WT1 Peptide Vaccine,"Cellular Immune Response, Minimum criterion for a cellular immune response was defined as the emergence of detectable T cell frequency against Willm's tumor 1 (WT1) when the pre-study analysis found no response, or a twofold increase in T cell frequency at any post vaccination time point, 7 weeks after last dose of vaccine","Disease Response, Clinical response of underlying malignancy to the vaccination, 7 weeks after last dose of vaccine",,"National Heart, Lung, and Blood Institute (NHLBI)",,ALL,"ADULT, OLDER_ADULT",PHASE2,4.0,NIH,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,070091|07-H-0091,2007-02,2009-11,2009-11,2007-02-12,2014-07-08,2014-07-08,"National Cancer Institute (NCI), 9000 Rockville Pike, Bethesda, Maryland, 20892, United States",
NCT00518206,Study of NY-ESO-1 ISCOMATRIX® in Patients With Measurable Stage III or IV Melanoma,https://clinicaltrials.gov/study/NCT00518206,,COMPLETED,"This was a Phase 2, open-label study of the NY-ESO-1 ISCOMATRIX® (ISCOM) vaccine administered as an intramuscular injection given every 4 weeks to subjects with measurable advanced malignant melanoma. Study objectives included determination of the anticancer activity, cellular and humoral immunogenicity, and safety and tolerability of the NY-ESO-1 ISCOM vaccine administered alone or preceded by a single administration of low-dose cyclophosphamide.",YES,Melanoma,BIOLOGICAL: NY-ESO-1 ISCOMATRIX® vaccine|DRUG: Cyclophosphamide,"Number of Subjects With Best Overall Tumor Response, Tumor responses were evaluated using computed tomography and categorized according to RECIST (version 1.0) at baseline, at week 11, between weeks 23 and 25, and every 12 weeks thereafter. Per RECIST, target lesions are categorized as follows: Complete Response (CR): Disappearance of all target lesions \[no evidence of disease\]; Partial Response (PR): ≥ 30% decrease in the sum of the longest diameter of target lesions; Progressive Disease (PD): ≥ 20% increase in the sum of the longest diameter of target lesions; Stable Disease (SD): small changes that do not meet above criteria., Up to 22 months","Cellular Immunogenicity of the NY-ESO-1 ISCOM Vaccine, Blood samples were drawn to measure cellular response at pretreatment and weeks 3, 7, 11, between weeks 23 and 25, week 33, and every 12 weeks thereafter. Cellular immunity included an assay for gamma interferon-producing T cells and enumeration of NY-ESO-1b-specific T cells, detected by fluorescent labeled human leukocyte antigen (HLA)-A2 tetramers carrying the NY-ESO-1b peptide, expressed as percent positive staining of CD4+ and CD8+ T cells. Data are presented for CD4+ and CD8+ T-cell responses (not mutually exclusive) that were pre-existing at baseline (BL) or presented at any time post-BL., Up to 22 months|Post-Vaccination Delayed-type Hypersensitivity (DTH) Reactions, NY-ESO-1-specific DTH was measured by intradermal injection with the full-length NY-ESO-1 protein, NY-ESO-1b peptide, and NY-ESO-1 DP4 peptide at pretreatment, week 11, and between week 23 and 25. DTH reactions (eg, local skin irritation) were evaluated 2 days after DTH injections. Data presented are based on injections with the full-length peptide, as these data are considered to be representative of the comprehensive DTH results., Up to 22 months|Humoral Immunogenicity of the NY-ESO-1 ISCOM Vaccine, Blood samples were drawn to measure humoral immunologic response at pretreatment and weeks 3, 7, 11, 33, and every 12 weeks thereafter. Humoral immunity was assessed by measurement of antibodies to NY-ESO-1 by enzyme-linked immunosorbent assay (ELISA). Data are presented according to baseline (BL) NY-ESO-1 antibody positivity and the time to seroconversion, if applicable., Up to 22 months|Number of Subjects With Treatment-emergent Adverse Events, Toxicity was graded in accordance with the National Cancer Institute Common Terminology Criteria for Adverse Events (version 3.0). Treatment-emergent adverse events (TEAEs) were reported based on clinical laboratory tests, physical examinations, and vital signs from pre-treatment through the study period. Dose-limiting toxicity was defined as any treatment-related grade 4 toxicity or any grade 3 toxicity, excluding grade 3 skin necrosis at the site of the delayed-type hypersensitivity reaction, fever, or asymptomatic hyperglycemia that improved to baseline within 3 weeks of onset., Up to 22 months",,Ludwig Institute for Cancer Research,Austin Health|Peter MacCallum Cancer Institute,ALL,"ADULT, OLDER_ADULT",PHASE2,46.0,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,LUD2002-013|CTN Trial No.: 2007/123|CTN-Protocol# LUD2002-013AMEND,2003-11-28,2010-01-22,2010-01-22,2007-08-20,2017-06-23,2022-10-25,"Peter MacCallum Cancer Institute, East Melbourne, Victoria, 3002, Australia|Austin Health (Ludwig Institute Oncology Unit), Heidelberg, Victoria, 3084, Australia",
NCT00616720,Interferon-gamma or Aldesleukin and Vaccine Therapy in Treating Patients With Multiple Myeloma,https://clinicaltrials.gov/study/NCT00616720,,COMPLETED,"RATIONALE: Biological therapies, such as interferon-gamma and aldesleukin, may stimulate the immune system in different ways and stop cancer cells from growing. Vaccines made from a person's white blood cells may help the body build an effective immune response to kill cancer cells. Giving biological therapy together with vaccine therapy may kill more cancer cells.

PURPOSE: This randomized phase II trial is studying how well giving aldesleukin or interferon gamma together with vaccine therapy works in treating patients with multiple myeloma.",NO,Multiple Myeloma and Plasma Cell Neoplasm,BIOLOGICAL: aldesleukin|BIOLOGICAL: idiotype-pulsed autologous dendritic cell vaccine APC8020|BIOLOGICAL: recombinant interferon gamma|GENETIC: polymerase chain reaction|GENETIC: reverse transcriptase-polymerase chain reaction|OTHER: flow cytometry|OTHER: laboratory biomarker analysis,"Confirmed response (i.e., clinical or immunological)",,,Mayo Clinic,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,15.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: |Masking: |Primary Purpose: TREATMENT,CDR0000582566|P30CA015083|998003|789-99,2001-08,2007-11,2007-11,2008-02-15,,2011-05-16,,
NCT00616941,"Phase 1 Study of NY-ESO-1 Overlapping Peptides in Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Cancer",https://clinicaltrials.gov/study/NCT00616941,,COMPLETED,"This was a Phase 1, open-label study of repeated vaccination with NY-ESO-1 overlapping peptides (OLP4) with or without the immunoadjuvants Montanide and polyinosinic-polycytidylic acid - poly-L-lysine carboxymethylcellulose (poly-ICLC) administered every 3 weeks for a total of 5 vaccinations in subjects with epithelial ovarian, fallopian tube, or primary peritoneal cancer in second or third clinical remission. Study objectives included determination of the safety and immunogenicity following vaccination.",YES,Epithelial Ovarian Cancer|Fallopian Tube Cancer|Primary Peritoneal Cancer,BIOLOGICAL: NY-ESO-1 OLP4|BIOLOGICAL: NY-ESO-1 OLP4 + Montanide|BIOLOGICAL: NY-ESO-1 OLP4 + Montanide + Poly-ICLC,"Overview of Treatment-emergent Adverse Events (TEAEs), Analysis of TEAEs reported from clinical laboratory tests, physical examinations, and vital signs from pre-treatment through 3 weeks after the last dose of study treatment., Continuously for up to 16 weeks","Number of Patients With Detectable Serum Immunoglobulin G (IgG) Antibody Titers Against NY-ESO-1 Up to 16 Weeks Post-Baseline, Blood samples were drawn to measure immunologic response at Screening and Weeks 4, 7, 10, 13, and 16. Specific antibodies against NY-ESO-1 were measured by enzyme-linked immunosorbent assay (ELISA)., Screening and Weeks 4, 7, 10, 13, and 16|Number of Patients With Detectable CD8+ and CD4+ T-cell Responses Up to 16 Weeks Post-Baseline, Blood samples were drawn to measure immunologic response at Screening and Weeks 4, 7, 10, 13, and 16. NY-ESO-1-specific CD8+ and CD4+ T-cell reactivity was measured by tetramer analysis (in human leukocyte antigen \[HLA\] 0201\* patients). Interferon gamma (IFN-γ) release by T cells was measured by the enzyme-linked immunospot (ELISPOT) assay. A subject was considered to have experienced a T-cell response if IFN-γ spots were detectable (\>50 spots) by ELISPOT of 50,000 CD8+ and CD4+ T cells following pre-sensitization with a pool of 20-mer OLP covering all of NY-ESO-1 and tested against Epstein-Barr virus-transformed B cells pulsed with 3 subpools of these peptides., Screening and Weeks 4, 7, 10, 13, and 16|Number of Patients With Delayed-type Hypersensitivity (DTH) Reactions (Induration and Redness) to NY-ESO-1 OLP4 at Screening and Week 16, NY-ESO-1-specific DTH was measured by skin tests at Screening and again at Week 16. NY-ESO-1 OLP4 (40 µg in 0.1 mL D5W) was injected intradermally, with DTH reactions read 48 hours after injection., Screening and Week 16|Cancer Antigen (CA)-125 Levels Up to 16 Weeks Post-Baseline, Serum CA-125 was measured at Screening, Week 7, and Week 16. Stable CA-125 at baseline was \< 35 U/mL (defined as CA-125 that had not doubled from the post chemotherapy nadir)., Screening, Week 7, and Week 16|Tumor Measurement Results According to the Response Evaluation Criteria for Solid Tumors (RECIST) Up to 16 Weeks Post-Baseline, Radiographic imaging (computed tomography of the abdomen and pelvis) was obtained at Screening and every 2 months during the study, and at unscheduled time points if any clinical symptoms/examination findings warranted further evaluation or if serum CA-125 rose to \> 70 U/mL (confirmed by repeat value). Subjects may have had more than 1 location of disease., Screening and every 2 months up to Week 16",,Ludwig Institute for Cancer Research,Memorial Sloan Kettering Cancer Center,FEMALE,"ADULT, OLDER_ADULT",PHASE1,28.0,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,LUD2006-001|MSKCC IRB# 07-152,2008-03,2011-06,2011-06,2008-02-15,2018-07-27,2022-10-12,"Memorial Sloan-Kettering Cancer Center, New York, New York, 10021, United States",
NCT00640861,Vaccine Therapy in Treating Patients With Previously Treated Stage II or Stage III Breast Cancer,https://clinicaltrials.gov/study/NCT00640861,,COMPLETED,"RATIONALE: Vaccines made from peptides may help the body build an effective immune response to kill tumor cells. It is not yet known which vaccine is most effective in treating breast cancer.

PURPOSE: This randomized clinical trial is studying the side effects of three different vaccine therapies and comparing the vaccines to see how well they work in treating patients with previously treated stage II or stage III breast cancer.",NO,Breast Cancer,BIOLOGICAL: CpG oligodeoxynucleotide|BIOLOGICAL: HER-2/neu peptide vaccine|BIOLOGICAL: MUC-1 peptide vaccine|BIOLOGICAL: incomplete Freund's adjuvant|BIOLOGICAL: sargramostim|OTHER: immunoenzyme technique|OTHER: immunologic technique,"Percentage of CD4+ T cells, CD8+ T cells, B cells, monocytes, and dendritic cells in a patient's peripheral blood sample as estimated by flow cytometry with a panel of monoclonal antibodies|Frequency of peptide-specific IFN-gamma producing T cells and peptide-specific IL-5 producing T cells estimated by ELISPOT after in vitro stimulation with peptide-sensitized stimulator cells for MUC1 and HER-2 peptides|Number and severity of hematologic and non-hematologic toxicities reported using the NCI-CTC version 3.0 criteria","Disease-free survival, defined as the time from registration to the documentation of a first failure where a failure is the recurrence of breast cancer or a diagnosis of a second primary cancer|Overall survival, defined as the time from registration to death due to any cause",,Mayo Clinic,National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",EARLY_PHASE1,45.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: |Masking: |Primary Purpose: TREATMENT,CDR0000589446|P30CA015083|MC0338|NCI-2009-01342|782-05,2008-08-28,2015-04-21,2015-04-21,2008-03-21,,2018-10-31,"Mayo Clinic in Arizona, Scottsdale, Arizona, 85259-5499, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic, Rochester, Minnesota, 55905, United States",
NCT00648102,"Phase I Study of CDX-1307, hCG-B Vaccine, for Patients With Incurable, Locally Advanced or Metastatic Breast, Colorectal, Pancreatic, Bladder or Ovarian Cancer",https://clinicaltrials.gov/study/NCT00648102,CDX1307-02,COMPLETED,"This research study is for individuals who have advanced breast, colon, pancreatic, ovarian or bladder cancer. Celldex Therapeutics, Inc. is testing a form of immune therapy (vaccine) to see if it can be used to make the immune system attack the cancer. The study includes administration of additional treatments, in combination, thought to enhance the immune response effect. This study specifically administers the vaccine systemically to explore whether dendritic cell targeted vaccines can generate more robust effects via intravenous injection. (CDX 1307-02)",NO,Breast Cancer|Colorectal Cancer|Pancreatic Cancer|Bladder Cancer|Ovarian Cancer,BIOLOGICAL: CDX-1307,"To establish safety and tolerability profile of CDX1307 alone and with adjuvant in patients with breast, colorectal, pancreatic, bladder and ovarian cancer, up to 2 years or until progression","Investigate clinical activity, up to 2 years or until progression",,Celldex Therapeutics,,ALL,"ADULT, OLDER_ADULT",PHASE1,36.0,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,CDX1307-02,2006-01,2009-05,2009-12,2008-04-01,,2010-07-26,"Henry Ford Health System, Detroit, Michigan, 48202, United States|Duke University, Durham, North Carolina, 27710, United States|Carolina BioOncology Institute, Huntersville, North Carolina, 28078, United States",
