NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT00086866,Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma That Cannot Be Removed With Surgery,https://clinicaltrials.gov/study/NCT00086866,,UNKNOWN,"RATIONALE: Vaccines may make the body build an immune response to kill tumor cells.

PURPOSE: This randomized phase II trial is studying two different regimens of vaccine therapy and comparing them to see how well they work in treating patients with stage III or stage IV melanoma that cannot be removed with surgery.",NO,Melanoma (Skin),BIOLOGICAL: D1/3-MAGE-3-His fusion protein|BIOLOGICAL: SB-AS02B adjuvant|BIOLOGICAL: SB-AS15 adjuvant,Response rate (complete response and partial response) as assessed by RECIST criteria|Vaccine-related toxicity as assessed by CTCAE v3,Rate of stabilization as assessed by RECIST criteria|Rate of mixed response as assessed by RECIST criteria|Rate of immune response|Progression-free survival,,European Organisation for Research and Treatment of Cancer - EORTC,,ALL,"ADULT, OLDER_ADULT",PHASE2,165,NETWORK,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: |Masking: NONE|Primary Purpose: TREATMENT,EORTC-16032-18031|EORTC-18031|EORTC-16032|GSK-249553/008|2004-001937-40,2004-05,2007-01,,2004-07-12,,2015-02-10,"Institut Jules Bordet, Brussels, 1000, Belgium|Hopital Universitaire Erasme, Brussels, 1070, Belgium|Clinique Sainte-Marguerite, Hyeres, 83400, France|Centre Hospitalier Regional et Universitaire de Lille, Lille, 59037, France|Hopital St. Eloi, Montpellier, 34295, France|CHR Hotel Dieu, Nantes, 44093, France|Institut Curie Hopital, Paris, 75248, France|Institut Gustave Roussy, Villejuif, F-94805, France|Charite - Universitaetsmedizin Berlin - Campus Benjamin Franklin, Berlin, D-12200, Germany|Klinikum der Stadt Mannheim, Mannheim, D-68135, Germany|Universitaets - Kinderklinik Wuerzburg, Wuerzburg, D-97080, Germany|Centro di Riferimento Oncologico - Aviano, Aviano, 33081, Italy|Istituto Nazionale per lo Studio e la Cura dei Tumori, Naples, 80131, Italy|Azienda Ospedaliera di Padova, Padova, 35128, Italy|Universita di Siena, Siena, 53100, Italy|Leiden University Medical Center, Leiden, 2300 RC, Netherlands|Daniel Den Hoed Cancer Center at Erasmus Medical Center, Rotterdam, 3008 AE, Netherlands|Hospital Clinic de Barcelona, Barcelona, 08036, Spain|Hospital Universitario 12 de Octubre, Madrid, 28041, Spain|Saint Bartholomew's Hospital, London, England, EC1A 7BE, United Kingdom|Christie Hospital NHS Trust, Manchester, England, M20 4BX, United Kingdom",
NCT02334865,SVN53-67/M57-KLH Peptide Vaccine in Treating Patients With Newly Diagnosed Multiple Myeloma Receiving Lenalidomide Maintenance Therapy,https://clinicaltrials.gov/study/NCT02334865,,ACTIVE_NOT_RECRUITING,"This phase I trial studies the safety of SVN53-67/M57-KLH peptide vaccine in incomplete Freund's adjuvant together with sargramostim in treating patients with newly diagnosed multiple myeloma who are receiving lenalidomide maintenance therapy. Vaccines made from survivin peptide may help the body build an effective immune response to kill cancer cells that express survivin. Incomplete Freund's adjuvant may help stimulate the body's immune response to a vaccine treatment. Colony-stimulating factors, such as sargramostim, may increase the production of blood cells. Lenalidomide may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth. Giving SVN53-67/M57-KLH peptide vaccine in incomplete Freund's adjuvant and sargramostim before or after the start of lenalidomide maintenance therapy may be a better treatment for multiple myeloma.",NO,Partial Response of Multiple Myeloma or Plasma Cell Leukemia|Plasma Cell Myeloma,BIOLOGICAL: Incomplete Freund's Adjuvant|OTHER: Laboratory Biomarker Analysis|DRUG: Lenalidomide|BIOLOGICAL: Sargramostim|BIOLOGICAL: SVN53-67/M57-KLH Peptide Vaccine,"Toxicity profile of the SVN53-67/M57-KLH peptide vaccine in incomplete Freund's adjuvant plus sargramostim, given before or after the start of lenalidomide maintenance, The National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0 will be used to evaluate toxicity. The maximum grade of toxicity for each category of interest will be recorded for each patient and the summary results will be tabulated by category and grade. The frequency of toxicities will also be tabulated for the regimen estimated to be the regimen-limiting toxicity., Up to 24 weeks","Immune response using interferon (IFN)-gamma enzyme-linked immunospot (ELISPOT) and multimer assays, A responder is defined as a patient who has responded in either IFN-gamma ELISPOT or multimer assays. For both the ELISPOT and multimer assays, time course and magnitude of responses will be plotted and data will be treated using mixed-effect modeling. In addition, Kendall's tau-b will be used to determine whether ELISPOT and multimer responses are associated., Up to 24 weeks",,Roswell Park Cancer Institute,Celgene,ALL,"ADULT, OLDER_ADULT",PHASE1,18,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,I 247913|NCI-2014-02621|I 247913,2017-04-13,2022-09-16,2026-05-19,2015-01-08,,2024-06-04,"Roswell Park Cancer Institute, Buffalo, New York, 14263, United States|University of Rochester Medical Center, Rochester, New York, 14642, United States",
NCT06243666,Long-term Effectiveness and Immuno-persistence Study of a Recombinant HPV 16/18 Bivalent Vaccine in Preadolescent Girls,https://clinicaltrials.gov/study/NCT06243666,,NOT_YET_RECRUITING,The primary objective of this study is to evaluate the protective efficacy against future infections of HPV types 16/18 or related diseases and immuno-persistence (type specific IgG antibody) of the bivalent HPV vaccine in young female populations aged 9-17 years.,NO,Cervical Intraepithelial Neoplasia|Cervical Cancer|Persistent Infection,"BIOLOGICAL: Recombinant Human Papillomavirus Bivalent (Types 16, 18) Vaccine (Escherichia coli)|OTHER: No intervention|BIOLOGICAL: Recombinant Human Papillomavirus Bivalent (Types 16, 18) Vaccine (Escherichia coli)","Incidence of persistent infection, transient infection, and cervical precancerous CIN1+ lesions associated with HPV types 16 and 18, To evaluate the efficacy of the bivalent vaccine against this outcome, 8-10 years after the first dose|Anti-HPV 16 and 18 IgG antibody seropositive rates and geometric mean concentrations, To detect the anti-HPV 16 and anti-HPV 18 type-specific IgG antibody level 9 years after the first dose, 9 years after the first dose","Incidence of persistent infection, transient infection, and cervical precancerous CIN1+ lesions associated with HPV types 31/33/45, To evaluate the efficacy of the bivalent vaccine against this outcome, 8-10 years after the first dose","Incidence of persistent infections, transient infections, and CIN1+ lesions associated with other high-risk types (except HPV types 16, 18, 31, 33, and 45)., To investigate the potential for type replacement/competition phenomena post-vaccination, 8-10 years after the first dose|Incidence of transient and persistent infections with oral HPV, To explore the incidence of transient and persistent oral HPV infections in vaccinated and unvaccinated populations, 8-10 years after the first dose",Xiamen University,"Xiamen Innovax Biotech Co., Ltd|Center for Disease Control and Prevention, Sheyang County, Yancheng City, Jiangsu Province, China",FEMALE,"ADULT, OLDER_ADULT",,2188,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,HPV-PRO-006-4,2024-02-20,2026-12-31,2026-12-31,2024-02-06,,2024-02-13,"Sheyang County Center for Disease Control and Prevention, Yancheng, Jiangsu, China",
NCT04912765,Neoantigen Dendritic Cell Vaccine and Nivolumab in HCC and Liver Metastases From CRC,https://clinicaltrials.gov/study/NCT04912765,,RECRUITING,This is a single arm phase II study of adjuvant intra-dermal NA DC vaccine combined with intravenous nivolumab in patients with resectable HCC (group A) or CRLM (group B) planned for curative surgery (with/without local ablation).,NO,Hepatocellular Carcinoma|Hepatocellular Cancer|Colorectal Cancer|Colorectal Carcinoma|Liver Metastases,BIOLOGICAL: Neoantigen Dendritic Cell Vaccine|DRUG: Nivolumab,"24-month Relapse Free Survival, To investigate the clinical efficacy of combining NA DC vaccine with nivolumab in resected HCC and resected CRLM patients., Time from liver resection to first documented disease recurrence or death by any cause, up to 2 years|Induced immune response against vaccinated NAs, To determine the presence of NA specific T cells in resected HCC and resected CRLM patients after vaccination. Assessed by EPISOT and/or intracellular cytokine staining (ICS) assay with NA peptides in post-vaccination peripheral blood mononuclear cells (PBMC) compared to pre-vaccination PBMCs., Time from liver resection to first documented disease recurrence or death by any cause, up to 2 years","Frequency and severity of treatment-emergent adverse events (AE), To determine the safety and tolerability of combining NA DC vaccine and nivolumab, From the time of start of first treatment administered until 100 days after last dose of study treatment|Overall Survival, From time of start of study enrolment to death due to any cause, up to 7 years",,"National Cancer Centre, Singapore",Bristol-Myers Squibb,ALL,"ADULT, OLDER_ADULT",PHASE2,60,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,CA209-7R9,2021-04-15,2025-05,2025-05,2021-06-03,,2024-01-23,"National Cancer Center Singapore, Singapore, 169690, Singapore",
NCT04968366,Safety & Efficacy of DC Vaccine and TMZ for the Treatment of Newly-diagnosed Glioblastoma After Surgery,https://clinicaltrials.gov/study/NCT04968366,,ACTIVE_NOT_RECRUITING,"This is a single-center, single-arm phase I study to determine the safety and preliminary efficacy of autologous dendritic cells (DCs) loaded with multiple tumor neoantigen peptides administered as a cancer-treatment vaccine to treat adult postoperative patients with newly-diagnosed glioblastoma, in combination with the standard-of-care Temozolomide (TMZ) chemotherapy.",NO,Glioblastoma Multiforme of Brain,BIOLOGICAL: Autologous dendritic cells pulsed with multiple neoantigen peptides.|DRUG: Temozolomide adjuvant chemotherapy,"Incidence of Treatment-Emergent Adverse Events (AEs), AEs were graded according to the Common Terminology Criteria for Adverse Events (CTCAE) version 4.03., All the AEs were recorded from the first shot to 8 weeks after the last shot.","Proportions of patients with positive peripheral tumor specific immune response after the DC vaccinations, The peripheral tumor specific immune response is measured by the IFN-γ release ELISPOT assay, using the peripheral blood mononuclear cells (PBMCs) that are collected before the vaccine injection (baseline), one week after the 3r, 5th and the last injection, respectively. The positive response is defined as ""≥ 55 spot-forming cells in each million PBMCs"" or ""number of spot-forming cells increase by 3-fold after the DC vaccination compared with the baseline""., start from the inclusion timepoint to one week after the last injection.|Progression-free survival, months from the date of surgery to tumor recurrence or progression, From date of surgery until the date of first documented progression or date of death from any cause, whichever came first, assessed up to 60 months|Overall survival, months from the date of surgery to death, From date of surgery until the date of death from any cause, assessed up to 60 months|Rate of the patients who survive for more than one year after surgery in all the included patients who receive the DC vaccine, One-year survival rate, From date of surgery until one year after surgery",,Beijing Tiantan Hospital,ZhongSheng BioTech Inc.,ALL,"ADULT, OLDER_ADULT",PHASE1,11,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,KY 2021-021-02,2021-07-30,2024-03-31,2024-12-31,2021-07-20,,2024-02-09,"Beijing Tiantan Hospital, Beijing, Beijing, 100730, China",
NCT02897765,"A Personal Cancer Vaccine (NEO-PV-01) w/ Nivolumab for Patients With Melanoma, Lung Cancer or Bladder Cancer",https://clinicaltrials.gov/study/NCT02897765,,COMPLETED,The purpose of this study is to evaluate if the treatment with NEO-PV-01 + adjuvant in combination with nivolumab is safe and useful for patients with certain types of cancer. The study also will investigate if NEO-PV-01 + adjuvant with nivolumab may represent a substantial improvement over other available therapies such as nivolumab alone. All eligible patients will receive NEO-PV-01 + adjuvant and nivolumab while on this trial.,NO,"Urinary Bladder Cancer|Bladder Tumors|Transitional Cell Carcinoma of the Bladder|Malignant Melanoma|Melanoma|Skin Cancer|Carcinoma, Non-Small-Cell Lung|Lung Cancer",BIOLOGICAL: NEO-PV-01|BIOLOGICAL: Nivolumab|OTHER: Adjuvant,"Rate of adverse events including SAEs and AEs leading to treatment discontinuation, Rate of adverse events including SAEs and AEs leading to treatment discontinuation, Baseline through 100 days after last dose of nivolumab|Rate of adverse events including SAEs and AEs leading to changes in safety laboratory evaluations, Rate of adverse events including SAEs and AEs leading to changes in safety laboratory evaluations, Baseline through 100 days after last dose of nivolumab|Rate of adverse events including SAEs and AEs leading to physical examination findings, Rate of adverse events including SAEs and AEs leading to physical examination findings, Baseline through 100 days after last dose of nivolumab|Rate of adverse events including SAEs and AEs leading to vital signs findings, Rate of adverse events including SAEs and AEs leading to vital signs findings, Baseline through 100 days after last dose of nivolumab|Rate of adverse events including SAEs and AEs leading to changes in ECOG status, Rate of adverse events including SAEs and AEs leading to changes in ECOG status, Baseline through 100 days after last dose of nivolumab","Objective response rate (ORR), Objective response rate (ORR), defined as the proportion of patients who achieve complete response (CR) or partial response (PR) based on Response Criteria in Solid Tumors (RECIST) v1.1., Baseline through 104 weeks|Duration of response (DOR), Duration of response (DOR), defined as the date of the first documentation of a confirmed response to the date of the first documented PD., Baseline through 104 weeks|Clinical benefit rate (CBR), Clinical benefit rate (CBR), defined as the proportion of patients who achieve CR, PR, or stable disease (SD) based on RECIST v1.1, Baseline through 104 weeks|Response conversion rate (RCR), Response conversion rate (RCR) of NEO-PV-01 + adjuvant with nivolumab at Week 24 defined as the proportion of patients who improve in RECIST v1.1 category from Week 12 to Week 24 (e.g., PD to SD/PR/CR, SD to PR/CR, PR to CR)., Baseline through 104 weeks|Progression-free survival (PFS), Progression-free survival (PFS), defined as the time from the date of first dosing to the date of first documented PD or death., Baseline through 104 weeks|Overall survival (OS), Overall survival (OS), defined from the date of enrollment and death from any cause., Baseline through 104 weeks","Immune Responses, Antigen-specificity in peripheral CD8+ and CD4+ T cell responses and tumor biopsies following treatment with NEO-PV-01 + adjuvant and nivolumab, Day 1 of nivolumab through 104 weeks",BioNTech US Inc.,Bristol-Myers Squibb,ALL,"ADULT, OLDER_ADULT",PHASE1,34,INDUSTRY,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,NT-001,2016-10,2019-02,2020-05,2016-09-13,,2021-02-25,"City of Hope, Duarte, California, 91010, United States|UCLA Medical Center, Los Angeles, California, 90095, United States|University of California San Francisco, San Francisco, California, 94143, United States|Massachusetts General Hospital, Boston, Massachusetts, 02114, United States|Dana Farber Cancer Center, Boston, Massachusetts, 02115, United States|Washington University in St. Louis, Saint Louis, Missouri, 63130, United States|Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States|Memorial Sloan Kettering Cancer Center, New York, New York, 10065, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States",
NCT06202066,Temozolomide and Survivin Long Peptide Vaccine (SurVaxM) for the Treatment of Patients With Progressing Metastatic Neuroendocrine Tumors,https://clinicaltrials.gov/study/NCT06202066,,NOT_YET_RECRUITING,"This phase II trial compares the safety and effect of temozolomide combined with survivin long peptide vaccine (SurVaxM) to temozolomide alone in patients with neuroendocrine tumors (NET) that has spread from where it first started (primary site) to other places in the body (metastatic) and is growing, spreading or getting worse (progressing). Temozolomide is in a class of medications called alkylating agents. It works by damaging the cell's deoxyribonucleic acid and may kill tumor cells and slow down or stop tumor growth. Survivin, a protein, is expressed in 50% of patients that have neuroendocrine tumors and, is associated with poor outcomes. SVN53-67/M57-KLH peptide vaccine (SurVaxM) is a vaccine that has been shown to produce an immune system response against cancer cells that express a survivin and may block the growth of new tumor cells. Giving temozolomide with SurVaxM may kill more tumor cells in patients with progressing metastatic neuroendocrine tumors.",NO,Digestive System Neuroendocrine Neoplasm|Lung Neuroendocrine Neoplasm|Malignant Solid Neoplasm|Pancreatic Neuroendocrine Neoplasm,PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|BIOLOGICAL: Incomplete Freund''s Adjuvant|PROCEDURE: Magnetic Resonance Imaging|BIOLOGICAL: Sargramostim|BIOLOGICAL: SVN53-67/M57-KLH Peptide Vaccine|DRUG: Temozolomide,"Progression free survival (PFS) (Part 1), Summarized using frequencies and relative frequencies., At 6 months|Incidence of adverse events (Part 1), Defined using National Cancer Institute (NCI) Common Terminology Criteria for Adverse events (CTCAE) version (v) 5.0. Adverse events will be summarized by attribution and grade using frequencies and relative frequencies., Up to 1 year|PFS (Part 2), Clinical benefit compared between treatment arms. PFS will be summarized by study arm using frequencies and relative frequencies., At 6 months","Response (Part 1), Assessed using Response Evaluation Criteria in Solid Tumors (RECIST) version (v)1.1. Response will be summarized by time-point using frequencies and relative frequencies. Clinical benefit (best response of complete response \[CR\], partial response \[PR\] or stable disease \[SD\]) will be estimated and summarized using frequencies and relative frequencies, with a 95% confidence interval obtained for the clinical benefit rate., At 3, 6, 9 and 12 months from study entry|Overall survival (OS) (Part 1), OS will be summarized using standard Kaplan-Meier methods, where the median will be estimated with a 95% confidence interval., At the time from treatment initiation until death due to any cause up to 1 year|Time to progression (TTP) (Part 1), Defined using RECIST v1.1. TTP will be summarized using standard Kaplan-Meier methods, where the median will be estimated with a 95% confidence interval., At the time from treatment initiation until disease progression, death or last follow up up to 1 year|Titer response (Part 1), Defined as anti-survivin IgG titers \> 30,000 and will be summarized using frequencies and relative frequencies., Up to 1 year|Response (Part 2), Assessed using RECIST v1.1. Response will be summarized by study arm and timepoint using frequencies and relative frequencies. Clinical benefit (best response of CR, PR, or SD) will be estimated and summarized by study arm using frequencies and relative frequencies, with a 95% confidence interval obtained for the clinical benefit rate., At 6, 9, and 12 months from study entry|OS (Part 2), OS will be summarized by study arm using standard Kaplan-Meier methods, where the median will be estimated with a 95% confidence interval., At time from treatment initiation until death due to any cause up to 1 year|TTP (Part 2), Assessed using RECIST v1.1. TTP will be summarized by study arm using standard Kaplan-Meier methods, where the median will be estimated with a 95% confidence interval., At time from treatment initiation until disease progression, death or last follow-up up to 1 year|Titer response (Part 2), Defined as anti-survivin IgG titers \> 30,000 and will be summarized by study arm using frequencies and relative frequencies., Up to 1 year|Incidence of adverse events (Part 2), Adverse events are defined using NCI CTCAE v5.0 and will be summarized by attribution, study arm, and grade using frequencies and relative frequencies., Up to 1 year",,Roswell Park Cancer Institute,,ALL,"ADULT, OLDER_ADULT",PHASE2,132,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",I 3622923|NCI-2023-09345|I 3622923,2024-07-15,2027-01-15,2028-01-15,2024-01-11,,2024-05-06,"Roswell Park Cancer Institute, Buffalo, New York, 14263, United States",
NCT00203866,Trial of G250 Peptide and IL-2 Following Surgical Resection of Locally Advanced/Metastatic Renal Cell Carcinoma,https://clinicaltrials.gov/study/NCT00203866,,TERMINATED,The purpose of this study is to determine whether the experimental vaccine G250 with or without IL-2 can produce an immune response in patients with renal cell carcinoma who have had all their cancer removed by surgery.,NO,Metastatic Renal Cell Carcinoma,DRUG: G250 peptide|DRUG: IL-2,To determine whether immunization with G250 peptide/Montanide/GM-CSF plus IL-2 elicits a specific CTL response as assessed by ELISPOT.,To explore differences in G250-specific CTL response as a function of IL-2 dose.,,University of Chicago,,ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,12403B,2003-10,2007-03,2007-03,2005-09-20,,2013-09-05,"The University of Chicago, Chicago, Illinois, 60637, United States",
NCT01505166,Randomized Phase II Adjuvant Chemotherapy ± FANG™ in Colorectal Carcinoma With Liver Metastases,https://clinicaltrials.gov/study/NCT01505166,FANG-CLM,TERMINATED,"Preliminary studies with a variety of vaccines suggest target accessibility (potential immunogenicity) in a variety of solid tumors to immune directed approaches. In an effort to overcome limitations of immunostimulatory cancer vaccines, Gradalis has designed a novel autologous vaccine to address inability to fully identify cancer associated antigens, antigen recognition by the immune system (i.e. antigen--\>immunogen), effector potency, and cancer-induced resistance. In an effort to overcome limitations of immunostimulatory cancer vaccines, we designed a novel dual-modulatory autologous whole cell vaccine, Vigil™, incorporating the rhGMCSF transgene and the bifunctional shRNAfurin (to block proprotein conversion to active TGFb1 and b2) to 1) address the inability to fully identify cancer associated antigens, 2) effect antigen recognition by the immune system, 3) enhance effector potency, and 4) subvert endogenous cancer-induced immune resistance. We have also completed the Phase I assessment of Vigil™ vaccine in 30 advanced solid tumor patients (1.0 x 10\^7 cells/injection/month for a maximum of 12 vaccinations) who have not experienced any significant adverse effects following 144 vaccinations, including 6 patients with colorectal carcinoma. Plasmid functionality, immune biomarker response, and preliminary evidence of anticancer activity have been observed. This is a two-part Phase II study of the Vigil™ autologous vaccine. Six patients will be enrolled into the Part 1 of the study to receive intradermal autologous Vigil™ cancer vaccine (1.0 x 10\^7 cells/injection; maximum of 12 vaccinations). Part 2 of the study will be a randomized Phase II study of sandwich or adjuvant chemotherapy and intradermal autologous Vigil™ cancer vaccine (1.0 x 10\^7 cells/injection; maximum of 12 vaccinations) versus sandwich or adjuvant chemotherapy and placebo in patients with colorectal carcinoma with either synchronous or metachronous liver metastases (CLM +/= pulmonary metastases) following resection +/= ablation with curative intent.Sandwich therapy indicates a combination of both pre-operative and postoperative chemotherapy as opposed to neo-adjuvant (all chemotherapy prior to surgery) or adjuvant (all chemotherapy following surgery) therapy. A minimum harvest aliquot to produce 4 monthly injections will be required for entry into the study. Patients in whom insufficient tissue (\<4 doses) is collected or whose vaccine fails manufacturing release criteria will not receive vaccine.",YES,Colon Cancer,BIOLOGICAL: Vigil™ Vaccine|DRUG: Placebo,"Immune Analysis in Tumor Biopsy and Blood (Part 1), To evaluate and correlate Tumor Infiltrating Lymphocytes (TIL) in initial excised tumor and Enzyme-Linked ImmunoSorbent Spot (ELISPOT) responses to Vigil™ vaccine in blood of patients with CLM., Up to 12 months|Percent of Patients Who Progressed After Treatment (Part 2), Response rate will also be evaluated in this study using the Response Evaluation Criteria in Solid Tumors Version 1.1 (RECIST) (unidimensional measurement) of the tumor lesions are used in the RECIST criteria.The response in patients with measurable disease will be reported using standard outcome measures for clinical trials: complete response (CR), partial response (PR), stable disease (SD) and progressive disease (PD). Any response to treatment (either PR or CR) requires two confirmatory staging at least 4 weeks apart. Patients will be evaluable for tumor response if measurable disease is present., 24 months|Percent of Patients Who Survived After Treatment (Part 2), To determine and compare the overall survival rate in patients with CLM following resection +/- ablation with curative intent treated with sandwich or adjuvant chemotherapy and Vigil™ vaccine versus sandwich or adjuvant chemotherapy and placebo and compare with historical data., 24 months",,"Enzyme-Linked ImmunoSorbent Spot (ELISPOT) (Part 1), To determine if subjects will have a positive (defined as \>10 ELISPOTS from baseline) immune response to Vigil. Blood was collected to compare ELISPOT results from baseline until 30 days after last dose., Baseline, End of Treatment (30 days after last dose) up to 12 months|Number of Alive Subjects (Part 1), For Part 1, this was to determine the overall survival rate in patients with CLM following resection +/= ablation with curative intent treated with adjuvant chemotherapy and Vigil™ by following these patients up to 24 months., 24 Months","Gradalis, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE2,3,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,CL-PTL 107,2012-03,2016-08,2016-08,2012-01-06,2018-05-01,2021-11-01,"Mary Crowley Cancer Research Centers, Dallas, Texas, 75230, United States",
NCT06026774,Clinical Study of Personalized mRNA Vaccine Encoding Neoantigen in Subjects With Resected Digestive System Neoplasms,https://clinicaltrials.gov/study/NCT06026774,,RECRUITING,"The purpose of this study is to assess the safety, feasibility, and efficacy of personalized mRNA vaccine iNeo-Vac-R01 with standard adjuvant therapy in subjects with surgically resected digestive system neoplasms.",NO,Digestive System Neoplasms,BIOLOGICAL: iNeo-Vac-R01 in combination with standard adjuvant therapy,"Number of Participants with Adverse Events (AEs) [safety and tolerability], 21 days after last iNeo-Vac-R01 dose","Overall Survival (OS), OS is defined as time between the date of the first dose of iNeo-Vac-R01 and the date of death due to any cause., 3 years after first dose of iNeo-Vac-R01|Recurrence Free Survival (RFS), RFS is defined as time between the date of first dose of iNeo-Vac-R01 and the date of either disease recurrence or death (whichever is sooner)., 3 years after first dose of iNeo-Vac-R01|The proportion of subjects who have no disease recurrence at 12 months or 24 months after first dose of iNeo-Vac-R01., 12 months and 24 months after first dose of iNeo-Vac-R01|Neoantigen-specific T Cell Response [immunogenicity], Detect the level of specific TNF-γ in peripheral blood of subjects by ELISpot in order to measure the neoantigen-specific T cell response of subjects., 12 months after first dose of iNeo-Vac-R01|T Cell Subsets [immunogenicity], Detect the proportion of different T cell subsets in T cells by flow cytometry., 12 months after first dose of iNeo-Vac-R01|Cytokines Level [immunogenicity], Record the changes of IL-2, IL-6, IL-8, IL-10, IL-12, and TNF-α in peripheral blood before and after treatment., 6 months after first dose of iNeo-Vac-R01",,Sir Run Run Shaw Hospital,"Hangzhou Neoantigen Therapeutics Co., Ltd.",ALL,"ADULT, OLDER_ADULT",PHASE1,20,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,SRRSH2023-755-03,2023-09-08,2027-08-31,2027-12-31,2023-09-07,,2023-09-11,"Department of General Surgery, Institute of Minimally Invasive Surgery, Sir Run Run Shaw Hospital, Hangzhou, Zhejiang, 310000, China",
